Loss,Time(s)
1049.9217200853113,4.955036163330078
1049.9217200853113,10.210798978805542
1049.9217200853113,15.693652153015137
1049.9217200853113,21.377700090408325
1049.9217200853113,26.357877016067505
1049.9217200853113,31.227296829223633
1049.9217200853113,36.63530898094177
1049.9217200853113,41.26207613945007
1049.9217200853113,45.91098690032959
1049.9217200853113,51.650420904159546
1049.9217200853113,56.79750108718872
1049.9217200853113,61.643401861190796
1049.9217200853113,66.6376690864563
1049.9217200853113,71.88023114204407
1049.9217200853113,86.54670810699463
1049.9217200853113,91.59861397743225
1049.9217200853113,96.04698419570923
1049.9217200853113,100.711599111557
1049.9217200853113,105.38531112670898
1049.9217200853113,110.38109087944031
1049.9217200853113,115.00750207901001
1049.9217200853113,119.69740891456604
1049.9217200853113,124.2252631187439
1049.9217200853113,130.88104104995728
1049.9217200853113,135.48430824279785
1049.9217200853113,140.36307287216187
1049.9217200853113,145.16094994544983
1049.9217200853113,149.91069293022156
1049.9217200853113,154.678120136261
1049.9217200853113,160.7604467868805
1049.9217200853113,165.95746397972107
1049.9217200853113,170.97700691223145
1049.9217200853113,175.60195183753967
1049.9217200853113,180.44984006881714
1049.9217200853113,185.61172604560852
1049.9217200853113,190.7668960094452
1049.9217200853113,195.42909407615662
1049.9217200853113,200.3202440738678
1049.9217200853113,204.9877369403839
1049.9217200853113,209.7004680633545
1049.9217200853113,214.40318703651428
1049.9217200853113,220.15107607841492
1049.9217200853113,225.12671899795532
1049.9217200853113,229.7581820487976
1049.9217200853113,234.34592700004578
1049.9217200853113,238.83766794204712
1049.9217200853113,243.4749801158905
1049.9217200853113,248.15150499343872
1049.9217200853113,252.90520405769348
1049.9217200853113,258.05869793891907
1049.9217200853113,262.76982593536377
1049.9217200853113,267.6017451286316
1049.9217200853113,272.5343608856201
1049.9217200853113,277.53375720977783
1049.9217200853113,282.71698904037476
1049.9217200853113,287.73014402389526
1049.9217200853113,292.96726393699646
1049.9217200853113,297.9595379829407
1049.9217200853113,303.0559389591217
1049.9217200853113,308.21407985687256
1049.9217200853113,312.97459387779236
1049.9217200853113,317.7213931083679
